text,AC,ACP
I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,food,conflict
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",food,positive
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",food,positive
The banana tower is an amazing dessert as well.,food,positive
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",food,conflict
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,food,negative
Wine list is not huge but def well selected.,food,conflict
"Be sure to try the seasonal, and always delicious, specials.",food,positive
"Fresh, authentic, french cuisine in substantial portions.",food,positive
The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,food,positive
"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.",food,positive
We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,food,positive
Good drink.,food,positive
My chow fun and chow see was really bland and oily.,food,negative
"I didn't take a look at the rest menu, but the oysters were fantastic.",food,positive
The grilled cheese at home afterwards was better.!!,food,negative
"If you love seafood, you would love this place!",food,positive
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,food,negative
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,neutral
it's the only place you can get yummy authentic japanese comfort food.,food,positive
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,food,positive
"Largest and freshest pieces of sushi, and delicious!",food,positive
Even the pasta is delicious here (a rarity in New York pizza restaurants).,food,positive
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",food,negative
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.",food,positive
Fish is so very fresh.,food,positive
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",food,positive
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,food,negative
They have a huge selection of different cream cheeses and all of their salads are great.,food,positive
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,food,positive
The food was authentic.,food,positive
"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",food,positive
Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,food,negative
I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,food,negative
We had Pam's special fried fish and it was amazing.,food,positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,food,positive
"So, a little inconsistency there but either way, both pizzas were really good.",food,conflict
Not enough wines by the glass either.,food,negative
I had the duck breast special on my last visit and it was incredible.,food,positive
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,food,positive
No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive
My wife had the fried shrimp which are huge and loved it.,food,positive
"Everything I had was good, and I'm a eater.",food,positive
One should not go to Lucky Strike for the food.,food,negative
"Try everything for that matter, it is all good.",food,positive
Try the green curry!!!,food,positive
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,food,positive
The food there are sastifying.,food,positive
The bar is very well stocked with interesting beers and well priced wines.,food,positive
The food was good.,food,positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",food,positive
I particularly love their yellowfun tuna and their mussel selection.,food,positive
I could have drank 4 glasses of water and still been parched - so watch out.,food,negative
But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,food,positive
"The steak is good, the fish is good and the sushi was surprisingly great.",food,positive
We ended the dinner with a surprisingly light and flaky apple tarte tatin.,food,positive
The buffet had a nice selection.,food,positive
The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,food,negative
They are the best bagels I've had.,food,positive
The wine list is extensive and impressive.,food,positive
The quail was fantastic and unique and the pastas were full of flavor.,food,positive
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,food,positive
Make sure you have the Spicy Scallop roll.. .,food,positive
The specials are usually quite good too.,food,positive
They've the best desserts and mixed drinks as well as snack foods.,food,positive
Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.,food,positive
The best burger I have had in the Village.,food,positive
I would have gotten some cole slaw and a knish if my stomach had more space.,food,positive
As always we had a great glass of wine while we waited.,food,positive
For dinner I had the chicken tikka-masala and some garlic naan.,food,neutral
"Also, because it is so thin, it gets cold very quickly and its not that filling.",food,negative
The food is nothing like its menu description.,food,negative
Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,food,positive
It's just O.K. pizza.,food,neutral
The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,food,positive
Thius is a must for anyone who loves Shabu-Shabu.,food,positive
The food was absolutely horrible!,food,negative
Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.,food,conflict
"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.",food,positive
The Thai ice tea was amazingly smooth and yummy!,food,positive
What I didn't like was how the food came right after it was ordered.,food,negative
I think I've had some the best meals of my life at minnow.,food,positive
My biggest complaint was the un-tasty food although presented well.,food,conflict
"Most importantly, food is excellent.",food,positive
"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.",food,positive
"The bread and lamb chops I had before the meal were quite good, however.",food,positive
one of the best Chicken Tikka Masala.,food,positive
"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.",food,positive
"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.",food,positive
Unique apppetizers.,food,positive
The Thai food is good.,food,positive
"Great selection of wine, and seafood.",food,positive
delicious.,food,positive
Salads are a delicious way to begin the meal.,food,positive
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",food,positive
Should you happen to be impressed by the cuisine definitely try it.,food,positive
"I had the black cod with yuzu sauce, which was wonderful.",food,positive
- i asked for them spicy and they were delicious).,food,positive
The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,food,positive
"The food was not fresh, the sauces were bland and very oily.",food,negative
One of us actually liked the expresso - that's it.,food,conflict
i recommend the thai popcorn :),food,positive
The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,food,positive
The tuna and wasabe potatoes are excellent.,food,positive
Ummm...the beer was cold.,food,positive
Good bagels and good cream cheese.,food,positive
I am happy i did the food was awsome.,food,positive
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",food,negative
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",food,positive
We could have made a meal of the yummy dumplings from the dumpling menu.,food,positive
Good food.,food,positive
"those rolls were big, but not good and sashimi wasn't fresh.",food,negative
"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",food,positive
"When you want a piece of beef, head on over.",food,positive
"Delicate spices, onions, eggs and a kick-ass roti.",food,positive
The menu has lots of options: I hope to go back to try those potato pancakes.,food,positive
Delicious crab cakes too.,food,positive
The bruschetta and panini's are so yummy!,food,positive
"Food was okay, nothing great.",food,neutral
"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",food,negative
Best Pastrami I ever had and great portion without being ridiculous.,food,positive
"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option.",food,neutral
go here for the drinks!,food,positive
"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",food,conflict
"Butter was melted, white wine warm, cheese oozing everywhere.",food,negative
We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,food,negative
Authentic Pakistani food.,food,positive
"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",food,negative
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,food,neutral
"Its not curry in a slurry crap, and regular run of the mill food.",food,neutral
"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",food,positive
"The food however, is what one might expect.",food,neutral
I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!,food,positive
The pizza was really good.,food,positive
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",food,negative
The food is tasty and portion sizes are appropriate.,food,positive
Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,food,positive
"Their sushi, Kamikaze and other Rolls are fresh and well presented.",food,positive
"For authentic Thai food, look no further than Toons.",food,positive
"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",food,positive
"If anyones has doubt of not knowing enough about wines,please check their wine list.",food,positive
Have the iced tea.,food,positive
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",food,conflict
you can actually get 2 salads worth if u take it home and add it to some lettuce!,food,negative
Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,food,positive
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",food,positive
Stay away from the latter since you won't go for seconds (hint hint).,food,negative
"not only does make the best pizza in NY , maybe anywhere.",food,positive
This is one of the best comfort food places in the city.,food,positive
I had a huge pastrami sandwich on a roll.,food,positive
The fish was not fresh and the rice tasted old and stale.,food,negative
This is the pinnacle of Indian Fast Food (all fast foods in my opinion).,food,positive
The wine list is also really nice.,food,positive
"Compared to Ess-a, Tal offers a less doughy bagel!",food,neutral
Ballato's is consistently delicious authentic italian food.,food,positive
The food was pretty tradional but it was hot and good with large portions.,food,positive
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",food,negative
"After we got our sashimi order, I could not believe how small the portions were!",food,negative
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",food,negative
always fresh and delicious.,food,positive
"The food was very good, but not very thai.",food,conflict
The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,food,positive
"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",food,negative
Their sake martini is wonderful.,food,positive
"Bagels are ok, but be sure not to make any special requests!",food,neutral
fine dining restaurant quality.,food,positive
The food was exceptional.,food,positive
The portions are small but being that the food was so good makes up for that.,food,conflict
Best drumsticks over rice and sour spicy soup in town!,food,positive
Their whitefish salad is excellent--all whitefish with a little mayo.,food,positive
"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",food,negative
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",food,negative
"Saul is pretty good, but definitely not great.",food,positive
Their pad penang is delicious and everything else is fantastic.,food,positive
"The flavors are very fresh and pretty inobtrusive, nothing flashy.",food,positive
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,food,negative
big and soft as well as good lunch food.,food,positive
I liked the food at this quasi-thai restaurant.,food,positive
By far the best salad I have had in a fast food restaurant.,food,positive
"As for the bar, this is another bad idea.",food,negative
"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",food,conflict
"Unlike HH up the block, this place actually gives you hearty and hot bagels this town is known for.",food,positive
The barebecued salmon is elegantly spiced and not at all dry.,food,positive
What generous portions!,food,positive
The workers there also absolutely load the bagel with cream cheese (gets a little messy).,food,neutral
The highly spiced chai tea was great too.,food,positive
"I have been there many times, and food is good and consistent.",food,positive
"Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.",food,positive
The meat dishes were only so-so.,food,neutral
"The menu consisted of standard brassiere food, better then places like Balthazar etc.",food,positive
And you're hungry a few hours later.,food,neutral
This is the best sushi in new york city - hands down.,food,positive
The sushi is also great!,food,positive
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,food,positive
I got an excellent piece of cheesecake and we had several other nice pastries.,food,positive
The makhani was OK --the korma was bland.,food,negative
The food is inventive but still keeps traditional indian flavoring.,food,positive
The lox is always fresh too.,food,positive
Food was OK - fish was cooked well.,food,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,food,positive
We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,food,positive
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,food,positive
Salads were fantastic.,food,positive
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food,positive
The food is authentic Italian - delicious!,food,positive
skip dessert.,food,negative
It's all about the food !!,food,positive
"stick with the chicken, beef, and lamb dishes.",food,positive
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",food,positive
The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,food,negative
Try sushimi cucumber roll.,food,positive
The food is delicious.,food,positive
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",food,positive
And they have these home made potato chips at the bar that are the most delicious things in the world!,food,positive
My husband and I enjoyed each of the 6 taste size portions and left completely full.,food,positive
"We all ate pasta entre'es, which were great.",food,positive
The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,food,positive
Terrific menu full of unique rolls and special dishes.,food,positive
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,food,positive
"I recommend their Pad See Ew, Pork Chops or Tofu plates.",food,positive
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",food,positive
"The main course had an average portion, and was decent overall.",food,positive
The dinner menu is diverse and top-notch as well.,food,positive
"I don't like Indian food too much and this was delicious, however you want to factor that into the equation.",food,positive
"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",food,positive
"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.",food,positive
I would definitely go back -- if only for some of those exotic martinis on the blackboard.,food,positive
Simple comfort food and what hot and lage portions.,food,positive
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",food,negative
"Also, specify if you like your food spicy- its rather bland if you don't.",food,neutral
"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",food,positive
"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.",food,positive
My fish was delicious in an incredible curry sauce.,food,positive
"Even upon delivery, their juicy pork buns are quite good . .",food,positive
"The food is amazing, rich pastas and fresh doughy pizza.",food,positive
"Food was very good, but not what I would consider out of this world.",food,positive
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,food,positive
"Dessert - can't be missed, so save room!!!",food,positive
"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.",food,positive
Ingredients are organic which is a real plus for me.,food,positive
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",food,negative
"The menu may be small, but everything on it is delicious.",food,conflict
They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,food,negative
It was divine melts in your mouth.,food,positive
The flavors robust and subtle.,food,positive
"We concluded with tiramisu chocolate cake, both were delicious.",food,positive
The sauce is delicious and the crust is perfect.,food,positive
They have some great entrees here as well.,food,positive
"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.",food,positive
I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,food,positive
The garlic mashed potatoes are hands down the best in the city!,food,positive
The lamb meat was under-cooked and EXTRMELY CHEWY.,food,negative
The best pad thai i've ever had.,food,positive
None of that yucky whipped stuff.,food,positive
"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",food,negative
Their coffee is quite good too!,food,positive
"Normally that would be improper, however they were all delicious and my host did not complain.",food,positive
Taxan delicious!,food,positive
"Southern Indian cuisine is still there, too.",food,neutral
They couldn't even make a salad that was appealing.,food,negative
Killer Sushi!,food,positive
Of course the reason its so packed is because the food is so delicious!,food,positive
Plus they made a perfect martini.,food,positive
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,food,neutral
Their Margarita is best I've had since I've returned from Naples!,food,positive
The tastes makes your mouth water for more.,food,positive
The food was actually aweful.,food,negative
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",food,negative
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,food,positive
"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",food,positive
Several of the dim sum orders had about 6-8 pieces.,food,neutral
If you have a dumpling fetish i suggest you try some here!,food,positive
"Three page wine menu, one page entree and horedevous.",food,positive
And the food was fantastic.,food,positive
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",food,neutral
The bar has various selections and the mixed drink special is a catcher! 2 for 1's.,food,positive
Pick a bagel has the best bagels in the city.,food,positive
It's called Gnochi alla nona and is found under Chef Specials.,food,neutral
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",food,negative
The fried dumplings are GREAT!,food,positive
This place has the best Chinese style BBQ ribs in the city.,food,positive
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",food,positive
The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,food,positive
The dim sum here is only so-so.,food,neutral
Steamed fresh so brought hot hot hot to your table.,food,positive
The steak was very fatty and the sauce was overpowering and not very tasty.,food,negative
The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,food,conflict
They have a very diverse menu so its something for everybody.,food,positive
The bagel was huge.,food,positive
Get the tuna of gari.,food,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",food,conflict
"The palak paneer was standard, and I was not a fan of the malai kofta.",food,neutral
"They sell special sushi, everything have a topping, sauce and etc.",food,positive
"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",food,negative
"They kindly brought us more to see if it was better, but it was not!",food,negative
love the food.,food,positive
All the desserts the group tried got favorable reviews.,food,positive
Best Reuben sandwich ever!,food,positive
Lucky Strike is a great casual place to just grab a bite to eat.,food,positive
Wonderful strawberry daiquiries as well!,food,positive
Frites were delicious if a bit on the thick side.,food,positive
I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,food,positive
"Overall, the best bagel in town.",food,positive
"It was huge, delicious, fresh, and will be the reason we return.",food,positive
"Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris.",food,positive
The sushi seemed pretty fresh and was adequately proportioned.,food,positive
Just stick with the small dishes!,food,neutral
Food is excellent.,food,positive
Although we were looking for regular lettuce and some walnuts the salads we got were great.,food,positive
"The portion sizes here are huge, and the sushi is good.",food,positive
My boyfriend ate tuna and it was cooked perfectly!,food,positive
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",food,positive
I have eaten there 3-4 times and the food was always good.,food,positive
"Grilled whole fish wonderful, great spicing.",food,positive
"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit.",food,positive
Try the lobster teriyaki and the rose special roll.,food,positive
If you go here - your focus should be the Tamarind Margaritas.,food,positive
The filet mignon dish was superb!,food,positive
"The food is good, I can't lie.",food,positive
"great food, lt's of it, more then one person can eat!",food,positive
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",food,positive
This place is worth going even if only for their beer.,food,positive
I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,food,positive
"Do not get the Go Go Hamburgers, no matter what the reviews say.",food,negative
The sandwhiches are out-of-this world!,food,positive
The food was very well prepared.,food,positive
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",food,conflict
"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place.",food,conflict
"Little Tonino's is just awesome, our favorite delivery place in Kennsington, honestly the best Gnochi I have ever had!",food,positive
I have been about 4 times and have always had a great meal.,food,positive
The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,food,positive
Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,food,positive
THE BIG COMPLAINT: NO TOASTING AVAILABLE.,food,negative
"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",food,positive
We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.,food,negative
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,food,positive
My son and his girlfriend both wanted cheeseburgers and they were huge!,food,positive
I really recommend the very simple Unda (Egg) rolls.,food,positive
Very good wine choices.,food,positive
"Tasty steak, pork loin, the works.",food,positive
"The burger was great, also.",food,positive
The pizza was great.,food,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,food,positive
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",food,conflict
All in all the food was above average and I would return to see how they operate with four or less dinners.,food,positive
"For appetizers, I recommend the shrimp fritters and dumplings.",food,positive
Try the Times Square cocktail -- ginger lemonade with vodka (also available without vodka.),food,positive
Veal Parmigana - Better than Patsy's!,food,positive
"Great wine, great food.",food,positive
honestly the worst sushi my husband and i had in our entire lives.,food,negative
Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,food,positive
"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent.",food,positive
"I've had the chicken with garlic sauce, chicken with black bean sauce, and hunan chicken.",food,neutral
"Because of the delicate thin crust, take-out pies get soggy in their boxes.",food,negative
The dish had like 6 pieces of beef in it.,food,neutral
"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",food,neutral
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,food,conflict
He was terribly thirsty after the meal too.,food,negative
The selection changes frequently but the basic dishes are always available.,food,neutral
then we ordered a dinosaur rolls and white tuna sashimi.,food,neutral
I'm partial to the Gnocchi.,food,positive
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",food,neutral
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",food,positive
"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",food,neutral
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
"Not only was the food outstanding, but the little 'perks' were great.",food,positive
It is very overpriced and not very tasty.,food,negative
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,positive
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",food,positive
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
"Great food, good size menu, great service and an unpretensious setting.",food,positive
"Great bagels, spreads and a good place to hang out in.",food,positive
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
"The wait staff is friendly, and the food has gotten better and better!",food,positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food,positive
Right off the L in Brooklyn this is a nice cozy place with good pizza.,food,positive
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,positive
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive
good selection of wines ranging from affordable to high end.,food,positive
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,positive
They have authentic Indian at amazin prices.,food,positive
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,food,positive
The food always tastes fresh and served promptly.,food,positive
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",food,positive
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive
"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
"The food, drinks and service are clearly among the best in the city.",food,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",food,positive
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive
Decent wine at reasonable prices.,food,positive
The only thing more wonderful than the food (which is exceptional) is the service.,food,positive
The waitress suggested glasses of wine that went very well with the food.,food,positive
"They might be all business at the counter when you give your order, but their food says I love you.",food,positive
the drinks are amazing and half off till 8pm.,food,positive
"The service, wine selection, ambiance are all outstanding and deserve recognition.",food,positive
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,food,positive
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",food,conflict
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",food,neutral
"The food was terrific and the service classy, attentive, without being overbearing.",food,positive
Great Indian food and the service is incredible.,food,positive
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,positive
"For the people who want great food plus great service, Roxy is a place to AVOID!",food,negative
"The food is great, service is ok.",food,positive
"Spice is great Thai food, love the inexpensive appetizers.",food,positive
We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,food,positive
"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",food,positive
"good music, great food, speedy service affordable prices.",food,positive
Highly recommend this as great value for excellent sushi and service.,food,positive
"This is some really good, inexpensive sushi.",food,positive
The pizza is delicious and the proprietor is one of the nicest in NYC.,food,positive
The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,food,positive
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",food,positive
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",food,positive
Baluchi's has solid food and a nice decor at reasonable prices.,food,positive
The waitress was very patient with us and the food is phenomenal!,food,positive
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",food,positive
The location and ambience is Ok but the food is what makes up for it.,food,positive
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",food,positive
The portions are large and the servers always surprise us with a different starter.,food,positive
"Well, their deliveries take for ever and the food is usually cold.",food,negative
"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive
Prices are higher to dine in and their chicken tikka marsala is quite good.,food,positive
Pair you food with the excellent beers on tap or their well priced wine list.,food,positive
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",food,positive
