,text,AC,ACP,label
327,I would definently recommend this restaurant.,anecdotes/miscellaneous,positive,3.0
328,I lOVE THIS PLACE!,anecdotes/miscellaneous,positive,3.0
329,"A big disappointment, all around.",anecdotes/miscellaneous,negative,1.0
330,Definitely Highly NOT recommended.,anecdotes/miscellaneous,negative,1.0
331,The two star chefs left quite some time ago to open their own place.,anecdotes/miscellaneous,neutral,2.0
332,"go to any corned indian restaurant, and the little india strip along east 6 st rules supreme!",anecdotes/miscellaneous,positive,3.0
333,I'd call it an 'italian dinner'.,anecdotes/miscellaneous,neutral,2.0
334,my first time here was with my gf for our 12 month anniversary.,anecdotes/miscellaneous,neutral,2.0
335,I have walked by this place for eons and finally went thanks to a girls' night.,anecdotes/miscellaneous,neutral,2.0
336,I pray it stays open forever.,anecdotes/miscellaneous,positive,3.0
337,This is the first time Citysearch did't call it right.,anecdotes/miscellaneous,neutral,2.0
338,I have eaten at many pizza places around NYC and this is hands down the worst.,anecdotes/miscellaneous,negative,1.0
339,What for?,anecdotes/miscellaneous,neutral,2.0
340,Fantastic!,anecdotes/miscellaneous,positive,3.0
341,HIGHLY RECOMMENDED for a first date.,anecdotes/miscellaneous,positive,3.0
342,"But people from Sichuan will die for it)  - Chongqing Hot Pot, chongqing was the biggest city of Sichuan, now became an independent province.",anecdotes/miscellaneous,positive,3.0
343,"Skip Baroanda down the street (Eurotrashy, snooty and expensive) and check this place out!",anecdotes/miscellaneous,conflict,
344,Skip this location and go to the one in Soho.,anecdotes/miscellaneous,conflict,
345,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",anecdotes/miscellaneous,positive,3.0
346,Anyone who ever dined at a thai restaurant is in for a huge disappointment.,anecdotes/miscellaneous,negative,1.0
347,I was so sad to read the bad reviews this place got!,anecdotes/miscellaneous,negative,1.0
348,Molto bene!,anecdotes/miscellaneous,positive,3.0
349,They are amazing!,anecdotes/miscellaneous,positive,3.0
350,Avoid this place!,anecdotes/miscellaneous,negative,1.0
351,A must try!,anecdotes/miscellaneous,positive,3.0
352,It is so easy to get a reservation at a top place in NYC with a week's notice.,anecdotes/miscellaneous,positive,3.0
353,"Based on a visit a month ago, I returned the week before Christmas and was hugely disappointed.",anecdotes/miscellaneous,negative,1.0
354,Went here on a friend's reccomendation.,anecdotes/miscellaneous,neutral,2.0
355,"I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.",anecdotes/miscellaneous,positive,3.0
356,We will definitely go back.,anecdotes/miscellaneous,positive,3.0
357,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,anecdotes/miscellaneous,positive,3.0
358,Is just the way it was in days gone by.,anecdotes/miscellaneous,neutral,2.0
359,And evaluated on those terms Pastis is simply wonderful.,anecdotes/miscellaneous,positive,3.0
360,Just go and see for yourself.,anecdotes/miscellaneous,neutral,2.0
361,"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",anecdotes/miscellaneous,neutral,2.0
362,I hate this.,anecdotes/miscellaneous,negative,1.0
363,"That place was awesome,,,  sally !",anecdotes/miscellaneous,positive,3.0
364,Finally a reliable Chinese restaurant!,anecdotes/miscellaneous,positive,3.0
365,get over it!,anecdotes/miscellaneous,neutral,2.0
366,"However, it just so happens that there's an even more amazing place just down the street.",anecdotes/miscellaneous,positive,3.0
367,I recommend ordering in on a weeknight.,anecdotes/miscellaneous,positive,3.0
368,So my husband made up an excuse so we can leave.,anecdotes/miscellaneous,negative,1.0
369,They are located in the middle of Chinatown!,anecdotes/miscellaneous,neutral,2.0
370,Eating at Ottimo is like eating in Chef Salvatore Esposito's home.,anecdotes/miscellaneous,positive,3.0
371,Katz's deli is a great NY experience.,anecdotes/miscellaneous,positive,3.0
372,Check it out.,anecdotes/miscellaneous,positive,3.0
373,"Alain Ducasse is the best of everything, I mean everything was excelent.I",anecdotes/miscellaneous,positive,3.0
374,GO HERE.,anecdotes/miscellaneous,positive,3.0
375,We weren't even at our table for more than an hour total.,anecdotes/miscellaneous,neutral,2.0
376,It has been my first choice ever since I discovered it .,anecdotes/miscellaneous,positive,3.0
377,We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,anecdotes/miscellaneous,neutral,2.0
378,"After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.",anecdotes/miscellaneous,neutral,2.0
379,I loved it and will be back soon.,anecdotes/miscellaneous,positive,3.0
380,This isn't your corner Chinese food takeout.,anecdotes/miscellaneous,neutral,2.0
381,"My husband and I ate here after reading reviews here as well as hobokeni.com,",anecdotes/miscellaneous,neutral,2.0
382,"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",anecdotes/miscellaneous,neutral,2.0
383,JUST AWSOME.,anecdotes/miscellaneous,positive,3.0
384,"I will definetely go back again and again, that's for sure!!!",anecdotes/miscellaneous,positive,3.0
385,This is one of our all-time favorite.,anecdotes/miscellaneous,positive,3.0
386,this place is amazingly bad.,anecdotes/miscellaneous,negative,1.0
387,"Compared to other shabu restaurants around town, this places wins hands-down.",anecdotes/miscellaneous,positive,3.0
388,I love this place.,anecdotes/miscellaneous,positive,3.0
389,Dinner took almost 4 hours without any lag time.,anecdotes/miscellaneous,negative,1.0
390,The problem is just that-it is a sometimes kind of affair.,anecdotes/miscellaneous,neutral,2.0
391,Made my dining experience uncomfortable.,anecdotes/miscellaneous,negative,1.0
392,We went to this restaurant based on prior internet comments.,anecdotes/miscellaneous,neutral,2.0
393,What's the difference between the two?,anecdotes/miscellaneous,neutral,2.0
394,Will go back but only sate those homesick stomach cravings!,anecdotes/miscellaneous,positive,3.0
395,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",anecdotes/miscellaneous,positive,3.0
396,I was very disappointed with this restaurant.,anecdotes/miscellaneous,negative,1.0
397,My wife and I were in NYC celebrating our 30th anniversary.,anecdotes/miscellaneous,neutral,2.0
398,I'm glad I was introduced to this place and this is a rare gem in NY.,anecdotes/miscellaneous,positive,3.0
399,We come from New Jersey to eat at Kinoko.,anecdotes/miscellaneous,neutral,2.0
400,Will never be back.,anecdotes/miscellaneous,negative,1.0
401,I highly recommend it.,anecdotes/miscellaneous,positive,3.0
402,My six year old loved it.,anecdotes/miscellaneous,positive,3.0
403,This restaurant used to be our regular Thursday night dinner location.,anecdotes/miscellaneous,neutral,2.0
404,I brought some buddies from CA and they loved it.,anecdotes/miscellaneous,positive,3.0
405,"If you are a vegetarian, this really isn't a good place to go.",anecdotes/miscellaneous,negative,1.0
406,I'm sure I'll return for a final judgement tho.,anecdotes/miscellaneous,neutral,2.0
407,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,anecdotes/miscellaneous,positive,3.0
408,I've been there three times and have always had wonderful experiences.,anecdotes/miscellaneous,positive,3.0
409,hmmm.,anecdotes/miscellaneous,neutral,2.0
410,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",anecdotes/miscellaneous,neutral,2.0
411,This place must have cost the owners afortune to build.,anecdotes/miscellaneous,negative,1.0
412,I haven't been to the other locations.,anecdotes/miscellaneous,neutral,2.0
413,We were walking around the village and went into this place just for some drinks.,anecdotes/miscellaneous,neutral,2.0
414,Go with a group of friends and you will have a great time.,anecdotes/miscellaneous,positive,3.0
415,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.",anecdotes/miscellaneous,conflict,
416,It's one of our favorite places to eat in NY.,anecdotes/miscellaneous,positive,3.0
417,"I'm from sichuan, this is the restaurant I recommend going.",anecdotes/miscellaneous,positive,3.0
418,This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.,anecdotes/miscellaneous,positive,3.0
419,But this place is a well-oiled machine so they know what they're doing.,anecdotes/miscellaneous,positive,3.0
420,But I'd go back,anecdotes/miscellaneous,positive,3.0
421,This Thai restaurant is a couple blocks away from Sripraphai (another delicious Thai restaurant).,anecdotes/miscellaneous,neutral,2.0
422,Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.,anecdotes/miscellaneous,conflict,
423,"That said, I thought Scalini Fedeli was one of the best dining experiences I've EVER had.",anecdotes/miscellaneous,positive,3.0
424,Everything about this restaurant was special.,anecdotes/miscellaneous,positive,3.0
425,I try my best to give an accurate description of any establishment visited.,anecdotes/miscellaneous,neutral,2.0
426,i would recommend reservations on weekends though.,anecdotes/miscellaneous,neutral,2.0
427,There are many Thai places in the city but so far Toons is #1.,anecdotes/miscellaneous,positive,3.0
428,I don't think I would go again.,anecdotes/miscellaneous,negative,1.0
429,And that's no mean feat...,anecdotes/miscellaneous,neutral,2.0
430,I often go there to eat with my family.,anecdotes/miscellaneous,neutral,2.0
431,I wish they would change back to what it was before.,anecdotes/miscellaneous,negative,1.0
432,NO PIZZA 33 for me!,anecdotes/miscellaneous,negative,1.0
433,"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years.",anecdotes/miscellaneous,neutral,2.0
434,I noted it was crossed off on the bill.,anecdotes/miscellaneous,neutral,2.0
435,"Needless to say, I'm never going back and you should be wary too.",anecdotes/miscellaneous,negative,1.0
436,I work around the corner and tried it with a colleague for the first time.,anecdotes/miscellaneous,neutral,2.0
437,I went here with my boyfriend and another couple.,anecdotes/miscellaneous,neutral,2.0
438,"This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street.",anecdotes/miscellaneous,positive,3.0
439,first it took us a long time to find the place.,anecdotes/miscellaneous,negative,1.0
440,"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.",anecdotes/miscellaneous,positive,3.0
441,I am a die hard peep lover.,anecdotes/miscellaneous,positive,3.0
442,SEA has become so popular that they've let it go to their heads.,anecdotes/miscellaneous,negative,1.0
443,Chennai Garden is my favorite Indian restaurant in the city.,anecdotes/miscellaneous,positive,3.0
444,Oh yeah ever on the west side try there sister resturant Arties Cafe.,anecdotes/miscellaneous,positive,3.0
445,(Besides that there should be more restaurants like it around the city).,anecdotes/miscellaneous,positive,3.0
446,My roommate and I LOVE this place.,anecdotes/miscellaneous,positive,3.0
447,Not worth it.,anecdotes/miscellaneous,negative,1.0
448,"In the evening, this place attracted a well dressed, with it, NY crowd.",anecdotes/miscellaneous,neutral,2.0
449,"So close, but not good enough.",anecdotes/miscellaneous,conflict,
450,This was on a Tuesday night.,anecdotes/miscellaneous,neutral,2.0
451,Its also a bit of a hassle to get to without a car (I happen to live in Inwood).,anecdotes/miscellaneous,negative,1.0
452,"Don't waste your time, or money!!",anecdotes/miscellaneous,negative,1.0
453,"They don't concern much of customer's health, just want to make money.",anecdotes/miscellaneous,negative,1.0
454,We just ate at Kai and were disapointed.,anecdotes/miscellaneous,negative,1.0
455,This was a great surprise.,anecdotes/miscellaneous,positive,3.0
456,I went with my fiance on a Tuesday evening.,anecdotes/miscellaneous,neutral,2.0
457,It was wonderful.,anecdotes/miscellaneous,positive,3.0
458,Went for a late weekday lunch.,anecdotes/miscellaneous,neutral,2.0
459,I just don't understand all the hype...,anecdotes/miscellaneous,negative,1.0
460,I don't get it either.,anecdotes/miscellaneous,negative,1.0
461,Went on a double date with friend and his girlfriend for a few drinks and appetizers.,anecdotes/miscellaneous,neutral,2.0
462,One of my favorite places in Manhattan.,anecdotes/miscellaneous,positive,3.0
463,I would highly recommand requesting a table by the window.,anecdotes/miscellaneous,positive,3.0
464,I for one will never patronize them again.,anecdotes/miscellaneous,negative,1.0
465,I stumbled upon this great pizzeria as I explored my new neighborhood.,anecdotes/miscellaneous,positive,3.0
466,"After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.",anecdotes/miscellaneous,neutral,2.0
467,"So, again, give it a try.",anecdotes/miscellaneous,positive,3.0
468,Stay far away from this place.,anecdotes/miscellaneous,negative,1.0
469,We will come back!!!,anecdotes/miscellaneous,positive,3.0
470,We'd go back again,anecdotes/miscellaneous,positive,3.0
471,i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,anecdotes/miscellaneous,positive,3.0
472,"But on a lazy Saturday night, we ended up going.",anecdotes/miscellaneous,neutral,2.0
473,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",anecdotes/miscellaneous,neutral,2.0
474,Once for dinner and once for brunch.,anecdotes/miscellaneous,neutral,2.0
475,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",anecdotes/miscellaneous,positive,3.0
476,Would recommend - perfect for those looking for a place close to grand central.,anecdotes/miscellaneous,positive,3.0
477,I only have friends.,anecdotes/miscellaneous,neutral,2.0
478,Please save yourself the frustration.,anecdotes/miscellaneous,negative,1.0
479,"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?",anecdotes/miscellaneous,neutral,2.0
480,And comparing it to the Chinatown restaurants is simply not fair.,anecdotes/miscellaneous,neutral,2.0
481,I was pleasantly suprised.,anecdotes/miscellaneous,positive,3.0
482,One less manhattanite the better.,anecdotes/miscellaneous,neutral,2.0
483,"Hey, I think $2+ for a 5 block walk ain't bad.",anecdotes/miscellaneous,neutral,2.0
484,Look elsewhere.,anecdotes/miscellaneous,negative,1.0
485,"I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.",anecdotes/miscellaneous,negative,1.0
486,Everyone I bring here always loves it.,anecdotes/miscellaneous,positive,3.0
487,Worth a visit.,anecdotes/miscellaneous,positive,3.0
488,A real dissapointment.,anecdotes/miscellaneous,negative,1.0
489,Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.,anecdotes/miscellaneous,neutral,2.0
490,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",anecdotes/miscellaneous,positive,3.0
491,I will be going back and heartily recommend it!,anecdotes/miscellaneous,positive,3.0
492,Would definitely visit again.,anecdotes/miscellaneous,positive,3.0
493,Definitely worth the trip to Battery Park City!,anecdotes/miscellaneous,positive,3.0
494,so i thought why not change it up a bit.,anecdotes/miscellaneous,neutral,2.0
495,P.S. Please don't tell anyone in my family i eat there.,anecdotes/miscellaneous,neutral,2.0
496,"To celebrate a birthday, three of us went to Mare anticipating great food.",anecdotes/miscellaneous,neutral,2.0
497,"I went to pams with my girlfriend, and i love it.",anecdotes/miscellaneous,positive,3.0
498,We had a most unpleasant experience at this restaurant.,anecdotes/miscellaneous,negative,1.0
499,I went there with my friend last saturday.,anecdotes/miscellaneous,neutral,2.0
500,Just an odd group.,anecdotes/miscellaneous,neutral,2.0
501,I love this place!,anecdotes/miscellaneous,positive,3.0
502,it is not consistent.,anecdotes/miscellaneous,negative,1.0
503,Was there Friday night.,anecdotes/miscellaneous,neutral,2.0
504,We had a girls' night dinner here for restaurant week.,anecdotes/miscellaneous,neutral,2.0
505,"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",anecdotes/miscellaneous,negative,1.0
506,I recommend it!,anecdotes/miscellaneous,positive,3.0
507,I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.,anecdotes/miscellaneous,positive,3.0
508,enough said!,anecdotes/miscellaneous,neutral,2.0
509,I don't live in NY but my best friend does.,anecdotes/miscellaneous,neutral,2.0
510,After the review I treked into Brooklyn.,anecdotes/miscellaneous,neutral,2.0
511,"Recommendations, of course, are required!",anecdotes/miscellaneous,neutral,2.0
512,You fellas above says its the best Taiwanese restaurant in town.,anecdotes/miscellaneous,neutral,2.0
513,"Yeah, it's that good.",anecdotes/miscellaneous,positive,3.0
514,"I am so coming back here again, as much as I can.",anecdotes/miscellaneous,positive,3.0
515,I have been going back again and again.,anecdotes/miscellaneous,positive,3.0
516,"Overall, excellent restaurant!",anecdotes/miscellaneous,positive,3.0
517,I ate here for the first time and absolutely loved it!,anecdotes/miscellaneous,positive,3.0
518,This is by far my favorite place in the neighborhood.,anecdotes/miscellaneous,positive,3.0
519,But too far east!,anecdotes/miscellaneous,negative,1.0
520,Satisfying.,anecdotes/miscellaneous,positive,3.0
521,Highly Highly Highly recommended!,anecdotes/miscellaneous,positive,3.0
522,We were fast to order the appetizer platter since we were very hungry.,anecdotes/miscellaneous,neutral,2.0
523,This place is greatly welcome in the desolate little strip between the Prospect Expressway and Greenwood Cemetery - a wasteland we like to call The Sliv.,anecdotes/miscellaneous,positive,3.0
524,now if they could only get a toaster.,anecdotes/miscellaneous,negative,1.0
525,You will find yourself returning quite often.,anecdotes/miscellaneous,positive,3.0
526,Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,anecdotes/miscellaneous,negative,1.0
527,You cannot go wrong at the Red Eye Grill.,anecdotes/miscellaneous,positive,3.0
528,It appears to be the owner's first venture and it shows.,anecdotes/miscellaneous,negative,1.0
529,I go twice a month!,anecdotes/miscellaneous,neutral,2.0
530,The worst excuse for Japanese food I've ever encountered.,anecdotes/miscellaneous,negative,1.0
531,A million better places to go in the city.,anecdotes/miscellaneous,negative,1.0
532,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",anecdotes/miscellaneous,conflict,
533,I love it.,anecdotes/miscellaneous,positive,3.0
534,If you want something really different than try Jekyll and Hyde.,anecdotes/miscellaneous,positive,3.0
535,Its located in greenewich village.,anecdotes/miscellaneous,neutral,2.0
536,Three strikes and this restaurant is out.,anecdotes/miscellaneous,negative,1.0
537,We bring in a party of ten or so every week.,anecdotes/miscellaneous,neutral,2.0
538,We would return to this place again!,anecdotes/miscellaneous,positive,3.0
539,happy to be a regular at this place and would warmly recommend it to anyone.,anecdotes/miscellaneous,positive,3.0
540,I highly recommend to anyone to give this place a try.,anecdotes/miscellaneous,positive,3.0
541,I agree.,anecdotes/miscellaneous,neutral,2.0
542,It just wasn't Thai.,anecdotes/miscellaneous,negative,1.0
543,I love to visit Murrays for my bagel fix.,anecdotes/miscellaneous,positive,3.0
544,Recommended.,anecdotes/miscellaneous,positive,3.0
545,I think locals rate this place so high.,anecdotes/miscellaneous,neutral,2.0
546,Go girls!!!,anecdotes/miscellaneous,positive,3.0
547,"For asian fusion, there are many places further downtown.",anecdotes/miscellaneous,neutral,2.0
548,Old school meets New world.,anecdotes/miscellaneous,neutral,2.0
549,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,anecdotes/miscellaneous,positive,3.0
550,This is probably one of my new favorite places.,anecdotes/miscellaneous,positive,3.0
551,"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.",anecdotes/miscellaneous,negative,1.0
552,The one on the east side is much better than the one on the west side.,anecdotes/miscellaneous,neutral,2.0
553,This restaurant is such a great place.,anecdotes/miscellaneous,positive,3.0
554,I've been several times and am totally smitten.,anecdotes/miscellaneous,positive,3.0
555,Terrible experience.,anecdotes/miscellaneous,negative,1.0
556,I love the place.,anecdotes/miscellaneous,positive,3.0
557,Will have to return to try the chocolate!,anecdotes/miscellaneous,neutral,2.0
558,Our first time in New York and we had to try a New York Bagel.,anecdotes/miscellaneous,neutral,2.0
559,this one is definintely my least favorite.,anecdotes/miscellaneous,negative,1.0
560,I have been urged by friends for months to check out the mermaid inn.,anecdotes/miscellaneous,neutral,2.0
561,"Everytime my husband and I go there, we are never disappointed.",anecdotes/miscellaneous,positive,3.0
562,We were not disappointed.,anecdotes/miscellaneous,positive,3.0
563,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,anecdotes/miscellaneous,neutral,2.0
564,"We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!",anecdotes/miscellaneous,negative,1.0
565,"Rao is a good restaurant, but it's nothing special.",anecdotes/miscellaneous,neutral,2.0
566,"Okay, so I never write but there doesn't seem to fair balance of positive to negative reviews concerning Green Bo and it's time to speak up - I live in Chinatown.",anecdotes/miscellaneous,neutral,2.0
567,Never fails to please.,anecdotes/miscellaneous,positive,3.0
568,Will absolutely visit again.,anecdotes/miscellaneous,positive,3.0
569,I consider the best Grand Sichuan restaurant in NYC.,anecdotes/miscellaneous,positive,3.0
570,Went to Village last night for my birthday.,anecdotes/miscellaneous,neutral,2.0
571,That's good and bad.,anecdotes/miscellaneous,conflict,
572,We visited Orsay during NY Restaurant Week and tried their $35 menu.,anecdotes/miscellaneous,neutral,2.0
573,Would NEVER go back there.,anecdotes/miscellaneous,negative,1.0
574,Three of us arrived for dinner about 5:30 on a week night without reservations.,anecdotes/miscellaneous,neutral,2.0
575,There is usually a wait but it is well worth it.,anecdotes/miscellaneous,conflict,
576,"Be careful, when they say spicy, they mean it!",anecdotes/miscellaneous,neutral,2.0
577,Your money could easily be better spent elsewhere (Anywhere).,anecdotes/miscellaneous,negative,1.0
578,Bring your appetites.,anecdotes/miscellaneous,neutral,2.0
579,"Seriously, this place kicks ass.",anecdotes/miscellaneous,positive,3.0
580,I loved it and would HIGHLY RECOMMEND.,anecdotes/miscellaneous,positive,3.0
581,I've been here twice now.,anecdotes/miscellaneous,neutral,2.0
582,THE BEST PLACE TO BRING KIDS OR ANY FRIENDS WHO WANT TO DO SOMETHING DIFFERENT.,anecdotes/miscellaneous,positive,3.0
583,"However, I do not understand the extraordinary hype about this restaurant.",anecdotes/miscellaneous,negative,1.0
584,I will be returning.,anecdotes/miscellaneous,positive,3.0
585,Nice place though.,anecdotes/miscellaneous,positive,3.0
586,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,anecdotes/miscellaneous,positive,3.0
587,"Similar to other Indian restaurants, they use the dinner special to attract customers at the door.",anecdotes/miscellaneous,neutral,2.0
588,"Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.",anecdotes/miscellaneous,positive,3.0
589,"But WARNING: to all those that use this site be weary, be very weary of recommendations.",anecdotes/miscellaneous,negative,1.0
590,We had a great time at the Jekyll and hyde Pub last night.,anecdotes/miscellaneous,positive,3.0
591,Try it side by side and there's no comparison.,anecdotes/miscellaneous,positive,3.0
592,So sorry I can't rate this better.,anecdotes/miscellaneous,neutral,2.0
593,Buon appetito!,anecdotes/miscellaneous,positive,3.0
594,"If we were to move from the upper east side, we would genuinely miss this restaurant.",anecdotes/miscellaneous,positive,3.0
595,"Ok, for all of us growing up in the Village of NYC, we have spoiled by a plethora of restaurants, most of which stay open very late.",anecdotes/miscellaneous,neutral,2.0
596,I would highly recommend it.,anecdotes/miscellaneous,positive,3.0
597,It's great to go for a quick lunch either alone or with a friend.,anecdotes/miscellaneous,positive,3.0
598,LLOOVVE THIS PLACE.,anecdotes/miscellaneous,positive,3.0
599,So some of the reviews here are accurate about the crowd and noise.,anecdotes/miscellaneous,neutral,2.0
600,"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.",anecdotes/miscellaneous,positive,3.0
601,"Place should also have a 1,2,3 chili rating to be more authentic...",anecdotes/miscellaneous,neutral,2.0
602,Went last Thursday.,anecdotes/miscellaneous,neutral,2.0
603,I love this place more and more everytime i go.,anecdotes/miscellaneous,positive,3.0
604,Saul is the best restaurant on Smith Street and in Brooklyn.,anecdotes/miscellaneous,positive,3.0
605,"I have been here a few times for dinner, once for brunch and twice for lunch.",anecdotes/miscellaneous,neutral,2.0
606,We went to Ino for Valentines.,anecdotes/miscellaneous,neutral,2.0
607,"It was good, but was not what I thought it would be.",anecdotes/miscellaneous,conflict,
608,"He always says, I don't have customers.",anecdotes/miscellaneous,neutral,2.0
609,instead ordered an ice cold beer which to me works with indian.,anecdotes/miscellaneous,neutral,2.0
610,Good for dates or with friends.,anecdotes/miscellaneous,positive,3.0
611,We had a good time.,anecdotes/miscellaneous,positive,3.0
612,"Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.",anecdotes/miscellaneous,neutral,2.0
613,Came looking for this place because I heard good things.,anecdotes/miscellaneous,neutral,2.0
614,I live on the street this place is on.,anecdotes/miscellaneous,neutral,2.0
615,Horrible.,anecdotes/miscellaneous,negative,1.0
616,Its worth the wait though.,anecdotes/miscellaneous,positive,3.0
617,Nothing special about this place.,anecdotes/miscellaneous,neutral,2.0
618,and never strayed.,anecdotes/miscellaneous,positive,3.0
619,Leave the kids at home!,anecdotes/miscellaneous,neutral,2.0
620,Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.,anecdotes/miscellaneous,neutral,2.0
621,Big thumbs up!,anecdotes/miscellaneous,positive,3.0
622,we were seated at the sushi bar in front of yasuda.,anecdotes/miscellaneous,neutral,2.0
623,We have lived in Chelsea for two years and have never noticed this restaurant.,anecdotes/miscellaneous,neutral,2.0
624,That's why you have to pay more for that.,anecdotes/miscellaneous,neutral,2.0
625,I loved it.,anecdotes/miscellaneous,positive,3.0
626,"They're are better Taiwanese restaurants and they are located in Flushing, Queens.",anecdotes/miscellaneous,neutral,2.0
627,but I wouldn't wanna live there.,anecdotes/miscellaneous,neutral,2.0
628,Arigato Gozimas Yuka!,anecdotes/miscellaneous,neutral,2.0
629,Tuk Tuk is one of the rare choices for me to go in Brooklyn.,anecdotes/miscellaneous,positive,3.0
630,This quiet dark asian bistro is well worth the trip.,anecdotes/miscellaneous,positive,3.0
631,I knew upon visiting NYC that I wanted to try an orginal deli.,anecdotes/miscellaneous,neutral,2.0
632,I would highly recommend this place!,anecdotes/miscellaneous,positive,3.0
633,Thank You Emilio.,anecdotes/miscellaneous,positive,3.0
634,First of all Dal Bukhara Rocks.,anecdotes/miscellaneous,positive,3.0
635,"Off the beaten path, this jewel of a restaurant shines just one block away from the plethora of 6th street Indian restaurants.",anecdotes/miscellaneous,positive,3.0
636,I would defiantly come back here again as one of my top choices.,anecdotes/miscellaneous,positive,3.0
637,Worth the trip from Manhattan.,anecdotes/miscellaneous,positive,3.0
638,I can't wait for the nex time.,anecdotes/miscellaneous,positive,3.0
639,Great neighborhood joint.,anecdotes/miscellaneous,positive,3.0
640,I take all my NYC guests to VT's.,anecdotes/miscellaneous,positive,3.0
641,"Even with the prix fixe pricing, this restaurant is not worth it.",anecdotes/miscellaneous,negative,1.0
642,"Good to find a restaurant where the owners have some imagination and they have actually pulled it off, like in this case.",anecdotes/miscellaneous,positive,3.0
643,I have been in many restaurants all over the city and Roth's Steakhouse has quickly become one of my favorites.,anecdotes/miscellaneous,positive,3.0
644,I went to DF for Valentines Day dinner.,anecdotes/miscellaneous,neutral,2.0
645,"and i have been around the block, to say the very least.",anecdotes/miscellaneous,neutral,2.0
646,"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats ,except at Taj Mahal.",anecdotes/miscellaneous,neutral,2.0
647,Give it a try and enjoy.,anecdotes/miscellaneous,positive,3.0
648,...and that's saying a lot.,anecdotes/miscellaneous,neutral,2.0
649,The only thing I could get attention from was one of at least two cats running around that kept batting at my table.,anecdotes/miscellaneous,negative,1.0
650,if your into thai..you cannot miss this great restaurant.,anecdotes/miscellaneous,positive,3.0
651,"Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!",anecdotes/miscellaneous,positive,3.0
652,I think this is one of the more underrated places in the city.,anecdotes/miscellaneous,positive,3.0
653,for out-of-towners who will get a big thrill out of the location!,anecdotes/miscellaneous,positive,3.0
654,Everyone that has ever come here with me has become a convert and returned regularly with their own friends.,anecdotes/miscellaneous,positive,3.0
655,I go at least 3 times a month and have never been disappointed.,anecdotes/miscellaneous,positive,3.0
656,"Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.",anecdotes/miscellaneous,neutral,2.0
657,"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",anecdotes/miscellaneous,positive,3.0
658,"I actually gave Patroon another chance before writing this, but the second visit was even worse.",anecdotes/miscellaneous,negative,1.0
